Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
ALCAS (2012),Wheat,Australia,0.307167494,0.166666667,0.667419192,0.080597108,,,,0.022445381,0.007481794,0,0.020317824,0.020562662,0,0,0,0,0,0,0,0,0,0,0,0,0.008444938,0.001427112,2.19443191,55.8802211
ALCAS (2012),Wheat,Australia,0.048061252,0.333333333,0.681767035,0.09920765,,,,0.033253605,0.011084517,0,0.020317806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009517972,0.001860745,2.19443191,55.8802211
ALCAS (2012),Wheat,Australia,0.012015313,0.25,0.652884551,0.083371639,,,,0.026320782,0.00877358,0,0.020317753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008373323,0.001596555,2.19443191,55.8802211
ALCAS (2012),Wheat,Australia,0.305310238,0.111111111,0.715635991,0.090014011,,,,0.019348213,0.006449425,0,0.018085064,0.014890203,0.040203549,0,0.004282893,0,0,0,0,0,0,0,0,0,0.007771204,0.001983667,2.19443191,55.8802211
ALCAS (2012),Wheat,Australia,0.305310238,0.111111111,0.764836426,0.092676668,,,,0.020942893,0.033159594,0,0.018085099,0.013448936,0.053399999,0,0.00428289,0,0,0,0,0,0,0,0,0,0.007754967,0.005372069,2.19443191,55.8802211
Barton et al. (2014),Wheat,Australia,0.305310238,0.111111111,0.77265144,0.009191408,0.107482944,0.009803292,0.003356082,0.015543959,0.001148133,0,Incl,0.047603375,0,0,0,0.061535361,0.004945805,0,0,0,0,0,0,0,0.015535297,0.004707426,2.19443191,55.8802211
Barton et al. (2014),Wheat,Australia,0.305310238,0.111111111,0.904132777,0.01490202,0.161710165,0.008743477,0.003267764,0.007948615,0.000971497,0,Incl,0.042127662,0.075070257,0,0,0.055093643,0.004945805,0,0,0,0,0,0,0,0.01430293,0.004296692,2.19443191,55.8802211
Biswas et al. (2008),Wheat,Australia,0.305310238,0.111111111,0.865583052,Incl,0.123930691,0.000837519,0.022708753,0.023686874,,,,0.071537539,0.047691693,0,0,0.037035171,0.004974517,0,0,0,0,0,0,0,0.015104639,0.004508225,2.19443191,55.8802211
Biswas et al. (2010),Wheat,Australia,0.143425691,1,1.220940785,0.009615617,,,,0,0,0,0.221841584,0,0,0,0,0.077979486,0.088961859,0,0,0.233522121,,0.000129216,,0,0.004182593,0.004061654,2.19443191,55.8802211
Brock et al. (2012),Wheat,Australia,0.307167494,0.166666667,0.855180752,0.002163514,0.07707013,0.002471214,0.031664226,0.04038559,0.00897137,0,Incl,0.026154478,0.003615472,0,0,0.032987847,0.088961859,0,0,0,0,0,0,0,0.019705626,0.007530396,2.19443191,55.8802211
Eady et al. (2012),Wheat,Australia,0.305310238,0.111111111,0.940791004,0.243275104,,,,,,,,,,0,0,0.05654757,0.088961859,0,0,0,0,0,0,0,-,0.005694058,2.19443191,55.8802211
Grant et al. (2008),Wheat,Australia,0.305310238,0.111111111,0.918154202,0.006838837,0.127195905,0.004052051,0.044687873,0.003704922,0.028488333,0,0.065678955,0.031713718,0,0,0,0.05676749,0,0,0,0,0,0,0,0,0.014187728,0.004629403,2.19443191,55.8802211
Maraseni and Cockfield (2011),Wheat,Australia,0.012015313,0.25,1.047182301,0.016158898,0.077146117,0.007408604,0.051511273,0.018977838,0.024153916,0,0.048989369,0.042169995,0,0,0.054771622,0.039642038,0.100238714,0,0,0,0,0,0,0,0.015550563,0.004746611,2.19443191,55.8802211
Muir et al. (2013),Wheat,Australia,0.307167494,0.166666667,0.80834667,0.004230871,0.040404822,0.005384745,0.023462105,0.019904327,0.006634776,0,0.024423667,0.02307748,0,0,0,0.037293126,0.088961859,0,0,0,0,0,0,0,-,0.005360907,2.19443191,55.8802211
Muir et al. (2013),Wheat,Australia,0.307167494,0.166666667,0.836473507,0.004230871,0.048001159,0.005384745,0.023462105,0.026635258,0.008846367,0,0.024423667,0.030962286,0,0,0,0.037293126,0.088961859,0,0,0,0,0,0,0,-,0.005875885,2.19443191,55.8802211
Muir et al. (2013),Wheat,Australia,0.307167494,0.166666667,0.873411301,0.005000121,0.056385977,0.006346307,0.026827571,0.031346911,0.010481022,0,0.024423667,0.036443187,0,0,0,0.044059399,0.088961859,0,0,0,0,0,0,0,-,0.006799846,2.19443191,55.8802211
Ridoutt et al. (2013),Wheat,Australia,0.305310238,0.111111111,0.94085855,0.124194051,,,0.094896805,0.024770587,0.025736012,0,0.023701821,0.036677925,0,0,0,0.058865984,0,0,0,0,0,0,0,0,0.014553368,0.00016895,2.19443191,55.8802211
Ridoutt et al. (2013),Wheat,Australia,0.182882917,1,0.918131993,0.115776942,,,0.107549713,0.026318749,0.01271881,0,0.023819354,0.009420581,0,0,0,0.07350465,0,0,0,0,0,0,0,0,0.009493211,0.001156124,2.19443191,55.8802211
Ridoutt et al. (2013),Wheat,Australia,0.307167494,0.166666667,0.705571921,0.051521678,,,0.031632268,0.025286641,0.015243254,0,0.021536598,0.019707025,0,0,0,0.019606855,0,0,0,0,0,0,0,0,0.009885337,0.000356613,2.19443191,55.8802211
Wang and Dalal (2015),Wheat,Australia,0.012015313,0.25,1.026700476,0.004076213,0.045517712,0.01154927,0.034647811,0.101905326,0.011209586,0,0,0.037365286,0,0,0.102679807,0.026114229,0,0,0,0,0,0,0,0,0.018002359,0.00703478,2.19443191,55.8802211
Wang and Dalal (2015),Wheat,Australia,0.012015313,0.25,0.861784841,0.003925242,0.043831871,0.01112152,0.033364559,0.129205889,0.010794416,0,0.003598139,0.035981387,0,0,0,0.025132924,0,0,0,0,0,0,0,0,0.011427505,0.005648939,2.19443191,55.8802211
Wang and Dalal (2015),Wheat,Australia,0.048061252,0.333333333,0.945035469,0.003925242,0.05397208,0.005233656,0.018317797,0.055934701,0.010794416,0,0,0.035981387,0,0,0.100093676,0.025132924,0,0,0,0,0,0,0,0,0.017584857,0.006154171,2.19443191,55.8802211
Wang and Dalal (2015),Wheat,Australia,0.048061252,0.333333333,0.752506106,0.003654536,0.050249868,0.004872714,0.017054501,0.077354342,0.010049974,0,0.002436357,0.033499912,0,0,0,0.02337606,0,0,0,0,0,0,0,0,0.010781129,0.004662266,2.19443191,55.8802211
FAO (2014),Wheat,Belarus,0.995,1,4.721288652,0.044703276,0.238960963,0.198787291,,0.107147047,0.03482279,0.022723693,0.054767695,0.006471528,0,0,0.023693389,1.325637793,0.112768554,0,0,0,0,0,0,0,0.010289318,-,2.19443191,6.461175595
Meul et al. (2012),Wheat,Belgium,0.3262,1,1.025873534,0.018792001,0.370935387,,,,,,,0.007173279,Incl,0,0,0.076726924,0.008831795,0,0,0,0,0,0,0,0.007137598,0.003493424,2.19443191,2.555284293
FAO (2014),Wheat,Bolivia (Plurinational State of),0.973,1,2.379050777,0.06927414,0.159970838,0.525967465,,0.182163593,0.059203168,0.030491989,0.050522258,0.031784769,0,0,0.050528942,0,0.112768554,0,0,0,0,0,0,0.362416856,-,-,2.201068297,6.584341736
FAO (2014),Wheat,Bosnia and Herzegovina,0.996,1,1.117405186,0.025453972,0.044607253,0.19218216,,0.013914793,0.004522308,0.018359796,0.047829722,0.000887124,0,0,0.018847139,0.056427018,0.112768554,0,0,0,0,0,0,0,0.007215971,-,2.19443191,2.208256831
FAO (2014),Wheat,Burundi,0.9862,1,2.75397461,0.006265024,0.002985881,0,,0,0,0.027219879,0.034985179,0,0,0,0.014115874,1.802793443,0.112768554,0,0,0,0,0,0,0,-,-,2.11024594,140.0657806
Gan et al. (2011),Spring wheat,Canada,0.9871,0.25,1.171499182,0.335795991,,,,,,,,NC,NC,0,NC,0.169839674,0.088961859,0,0,0,0,0,0,0,-,-,2.19443191,5.745812736
Gan et al. (2011),Spring wheat,Canada,0.9871,0.25,1.302297567,0.467308781,,,,,,,,NC,NC,0,NC,0.152960855,0.088961859,0,0,0,0,0,0,0,-,-,2.19443191,5.745812736
Gan et al. (2011),Spring wheat,Canada,0.9871,0.25,1.295407483,0.490981083,,,,,,,,NC,NC,0,NC,0.123249964,0.088961859,0,0,0,0,0,0,0,-,-,2.19443191,5.745812736
Pelletier et al. (2008),Wheat,Canada,0.9871,0.25,1.034220537,0.125605037,,0.003235417,0.030515519,0.174188575,,,,0.007242072,NC,0,NC,0.133497521,Incl,0,0,0,0,0,0,0,0.013878292,-,2.19443191,5.745812736
Pelletier et al. (2008),Wheat,Canada,0.0129,1,0.961270176,0.023829477,,0.004643422,0.034063795,0.19875869,,,,0,NC,0,NC,0.149053797,Incl,0,0,0,0,0,0,0,0.013374434,-,2.19443191,5.745812736
Huerta et al. (2012),Wheat,Chile,0.99799,1,1.308763612,0.638396201,,,,,,,,0.026075606,0,0,Incl,0.026077157,0,0,0,0,0,0,0,0,0.018092292,0.004908773,2.201068297,86.3887171
Huerta et al. (2012),Wheat,Chile,0.00201,1,1.085920487,0.092003634,,0.093617026,0.014419495,0.234749109,,,,0,0,0,0,0.065687839,0,0,0,0,0,0,0,0,0.004711853,0.000576444,2.201068297,86.3887171
Chen et al. (2014),Wheat,China,0.76396293,0.25,1.35886492,0.035005335,0.219544377,NC,0.332741275,0.106889997,,,,0.045157037,0,0,NC,0.001134175,0,0,0,0,0,0,0,0,-,-,898.227632,40858.03747
Chen et al. (2014),Wheat,China,0.76396293,0.25,1.38472854,0.036038496,0.678511704,,,,,,,0.046608942,0,0,NC,0.001432642,0,0,0,0,0,0,0,0,-,-,898.3225206,40862.35785
Cheng et al. (2015),Wheat,China,0,1,1.278711689,0.027525489,0.246021208,0.000366432,0.057295823,0.156020157,0.031915454,0,0.020340516,0.041873189,0,0,0,0.001601859,0.088961859,0,0,0,0,0,0,0,0.01660881,-,898.0724949,40850.97392
Ha et al. (2015),Winter wheat,China,0.052501751,0.142857143,1.166083347,0.539539652,,,,,,,,0.034790246,0,0,0.000626879,0.000641002,0,0,0,0,0,0,0,0,0.016023102,0.005497157,1255.445536,119559.5442
Wang et al. (2014),Winter wheat,China,0.061252042,0.142857143,2.006985069,1.163016263,,,,,,,,0.042113871,0,0,0,0.000678155,0.088961859,0,0,0,0,0,0,0,0.023521429,0.005075615,800.711583,76200.17974
Wang et al. (2014),Winter wheat,China,0.113753793,0.142857143,2.228411403,1.346720956,,,,,,,,0.047729092,0,0,0,0.000730788,0.088961859,0,0,0,0,0,0,0,0.026169012,0.005739499,936.2590328,89124.77276
Wang et al. (2016b),Winter wheat,China,0.113753793,0.142857143,1.283908739,0.019436214,0.175885653,0.004014586,0.271374271,0.073718432,,,,0.042371963,0,0,0,0.00060373,0.088961859,0,0,0,0,0,0,0,0.016340521,0.005162106,391.5716406,38998.44383
Xu and Lan (2016),Wheat flour,China,0.76396293,0.25,1.327220073,0.033203076,0.315639035,0.00238276,0.044203193,0.168684011,0.026965388,0.094721862,,0.014740992,NC,0,0.000732693,0.001731881,Incl,0,0,0,0,0,0,0,-,-,364.3080845,16548.13054
Yan et al. (2014),Wheat,China,0.76396293,0.25,1.421577183,0.03332618,0.273366016,0.084771519,0.011332126,0.192158901,0.038250838,0,0.02048225,0.050185234,0,0,0,0.001271276,0.088961859,0,0,0,0,0,0,0,0.016991857,-,898.2535484,40859.21747
Yan et al. (2015a),Wheat,China,0.090297712,0.5,1.725588004,0.04564918,0.415090063,0.003612581,0.052763138,0.286153463,0.051954751,0,0.029096868,0.07920928,0,0,0.000614424,0.001002656,0.088961859,0,0,0,0,0,0,0,0.024609256,0.007668829,2.19443191,60.72295927
Yan et al. (2015a),Wheat,China,0.090297712,0.5,1.449866772,0.034486994,0.311824514,0.002772491,0.044288199,0.213776045,0.036007501,0,0.028921981,0.055701145,0,0,0.000611428,0.000948417,0.088961859,0,0,0,0,0,0,0,0.018418683,0.005634637,2.19443191,60.72295927
Yan et al. (2015a),Wheat,China,0.031985565,0.5,1.458147062,0.034578004,0.230613246,0.008176565,0.22552284,0.140055229,0.028293537,0,0.030542828,0.031902052,0,0,0.000628189,0.006107855,0.088961859,0,0,0,0,0,0,0,0.015765499,0.008110746,1033.731273,93494.56553
Yan et al. (2015a),Wheat,China,0.031985565,0.5,1.300758654,0.02822608,0.201691802,0.008797426,0.139876593,0.123110129,0.029678508,0,0.030675689,0.033467165,0,0,0.000631871,0.005660297,0.088961859,0,0,0,0,0,0,0,0.015866146,0.008400349,1033.690173,93490.84282
Yang et al. (2014),Winter wheat,China,0.113753793,0.142857143,1.677481627,0.051709298,0.465432369,0.001022978,0.090431331,0.315917637,0.10754518,0,7.71542E-05,0.060001887,0,0,0,0.000664879,Incl,0,0,0,0,0,0,0,0.02097661,0.006432059,456.3728609,43367.11759
Yang et al. (2014),Winter wheat,China,0.113753793,0.142857143,1.5607962,0.0460908,0.444926219,0.000977886,0.086446462,0.256647309,0.080947272,0,7.80834E-05,0.057357048,0,0,0,0.000601338,Incl,0,0,0,0,0,0,0,0.020212286,0.006166763,436.3530117,41458.20375
Yang et al. (2014),Winter wheat,China,0.113753793,0.142857143,1.434474091,0.0399529,0.410196145,0.000901534,0.079697094,0.167584645,0.092570671,0,5.25456E-05,0.05287865,0,0,0,0.000756808,Incl,0,0,0,0,0,0,0,0.018918102,0.00571755,402.4542117,38225.91724
Yang et al. (2014),Winter wheat,China,0.113753793,0.142857143,1.599021541,0.047687005,0.460342286,0.001011739,0.089440035,0.265531923,0.083749504,0,7.89573E-05,0.059342634,0,0,0,0.00036086,Incl,0,0,0,0,0,0,0,0.020786094,0.006365931,451.3827104,42891.30146
FAO (2014),Wheat,Croatia,0.9903,0.333333333,1.205413087,0.02671512,0.145493839,0.135993308,,0.076046348,0.024715063,0.010667613,0.046752481,0.004848262,0,0,0.018340686,0,0.112768554,0,0,0,0,0,0,0,0.008199921,-,2.19443191,7.027317083
FAO (2014),Wheat,Croatia,0.9903,0.333333333,1.194207944,0.026198105,0.145493839,0.127035665,,0.076046348,0.024715063,0.010667613,0.046752481,0.004848262,0,0,0.018340686,0,0.112768554,0,0,0,0,0,0,0,0.007773586,-,2.19443191,7.027317083
FAO (2014),Wheat,Croatia,0.9903,0.333333333,1.131730782,0.023315352,0.145493839,0.077090019,,0.076046348,0.024715063,0.010667613,0.046752481,0.004848262,0,0,0.018340686,0,0.112768554,0,0,0,0,0,0,0,0.007471439,-,2.19443191,7.027317083
Christoforou et al. (2016),Winter wheat,Cyprus,0.4285,1,1.271135094,0.010279859,0.087029623,0.003965762,0.47107948,0.040942194,0.00301098,0,0.037759334,0.004142489,0,0,0.018615546,0,0,0,0,0,0,0,0,0,0.00793839,0.001789612,711.9084917,35533.53586
Moudr_ Jr et al. (2013c),Rye,Czech Republic,0.026929324,1,1.024574154,0.011273963,0.209373596,NC,0.07086491,0.140924536,,,,,0,0,0,0.018415731,Incl,0,0,0,0,0,0,0,-,-,2.19443191,3.71271546
Moudr_ Jr et al. (2013c),Rye,Czech Republic,0.002076841,1,0.806981989,0.02093736,0,NC,0.125624158,0,0,0.093412835,,0,0,0,0,0.026308187,Incl,0,0,0,0,0,0,0,-,-,2.19443191,3.71271546
FAO (2014),Wheat,Democratic People's Republic of Korea,0.3846,1,1.499947948,0.047824615,0.405265487,0.028592073,,0.089059925,0.028944476,0.03658678,0.021854888,0.023309398,0,0,0,0.030598148,0.112768554,0,0,0,0,0,0,0,0.011727912,-,433.3986982,1014.172807
Hayer et al. (2008),Wheat,Denmark,0.86105122,0.5,1.095811714,0.31035965,,,,,,,,,,0,0,0.108229747,0.096857224,0,0,0,0,0,0,0,0.015211128,0.006747547,2.19443191,10.60004973
Hayer et al. (2008),Wheat,Denmark,0.01204878,0.2,1.300251726,0.414129896,,,,,,,,,,0,0,0.17928701,0.096857224,0,0,0,0,0,0,0,0.027604303,0.013415018,2.19443191,10.60004973
Knudsen et al. (2014),Winter wheat,Denmark,0.01204878,0.2,1.696552797,0.034952497,0,0.703269564,,,,,,0,0,0,0,0.265345849,0.088961859,0,0,0,0,0,0,0,-,-,396.4937598,1302.931869
Knudsen et al. (2014),Winter wheat,Denmark,0.01204878,0.2,1.71094193,0.026317893,0,0.529535069,,,,,,0,0,0,0,0.358997326,0.088961859,0,0,0,0,0,0,0,0.005190121,-,535.6582284,1759.048981
Knudsen et al. (2014),Winter wheat,Denmark,0.01204878,0.2,1.244520188,0.019069941,0.383701024,,,,,,,0,0,0,0,0.164944717,0.088961859,0,0,0,0,0,0,0,0.013720904,-,247.2994195,813.9414507
Knudsen et al. (2014),Winter wheat,Denmark,0.01204878,0.2,1.04138138,0.013739546,0.269805795,,,,,,,0.006643821,0,0,0,0.089749331,0.088961859,0,0,0,0,0,0,0,-,-,135.560381,447.7122826
Mogensen et al. (2014),Wheat,Denmark,0.86105122,0.5,1.058684589,0.160008102,,,,0.15230713,,,,0.006991281,NC,0,0,0.098235289,Incl,0,0,0,0,0,0,0,0.006496096,-,40.0709679,134.7419115
FAO (2014),Wheat,Egypt,0.91,1,2.600998542,0.026592335,0.312341251,0.066413232,,0.183372311,0.059596001,0.066757479,0.021193826,0.022802937,0,0,2.27864E-05,0,0.112887026,0,0,0,0,0,0,0,0.020876846,-,3382.942536,333260.4362
FAO (2014),Wheat,Eritrea,0.938,1,0.768564572,0.006953474,0.052841046,0,,0,0,0.008478059,0.032803741,0,0,0,0.004194245,0,0.112768554,0,0,0,0,0,0,0.000435673,-,-,2.11024594,79.13962498
FAO (2014),Wheat,Estonia,0.9991,0.333333333,6.244318704,0.042188587,0.127759515,0.214983433,,0.067608946,0.021972907,0.011344112,0.048293525,0.004310344,0,0,0.019062311,3.246650808,0.112768554,0,0,0,0,0,0,0,0.008667626,-,2.19443191,3.504463872
FAO (2014),Wheat,Estonia,0.9991,0.333333333,5.597279915,0.041003408,0.127759515,0.200506434,,0.067608946,0.021972907,0.011344112,0.048293525,0.004310344,0,0,0.019062311,3.246650808,0.112768554,0,0,0,0,0,0,0,0.008007555,-,2.19443191,3.504463872
FAO (2014),Wheat,Estonia,0.9991,0.333333333,5.391830415,0.034544185,0.127759515,0.121606791,,0.067608946,0.021972907,0.011344112,0.048293525,0.004310344,0,0,0.019062311,3.246650808,0.112768554,0,0,0,0,0,0,0,0.007539758,-,2.19443191,3.504463872
FAO (2014),Wheat,Ethiopia,1,1,4.005341057,0.009299254,0.039902228,0,,0.013495139,0.00438592,0.122170698,0.032232289,0.001403761,0,0,0.012642757,0.504841142,0.112768554,0,0,0,0,0,0,0.499217621,-,-,2.11024594,63.33329202
Rajaniemi et al. (2011),Rye,Finland,0.068,1,2.890955661,Incl,0.131749028,NC,0.223089494,0.29725414,,0,0.052141118,0,0.116273497,0,0,1.191654266,Incl,0,0,0,0,0,0,0,-,-,2.19443191,4.304619579
Rajaniemi et al. (2011),Spring wheat,Finland,0.932,1,2.108702696,Incl,0.09017173,NC,0.156023745,0.197591013,,0,0.059879805,0,0.077289414,0,0,0.796828397,Incl,0,0,0,0,0,0,0,-,-,2.19443191,4.304619579
Carrouée et al. (2012),Winter wheat,France,0.125520378,0.125,0.984258863,0.006071159,0.265561363,0.076047788,,0.042366602,,,,0.008012932,NC,0,0,0,0,0,0,0,0,0,0,8.56086E-05,0.008070801,0.006784048,59.25042837,239.8509641
Carrouée et al. (2012),Winter wheat,France,0.125520378,0.125,0.968790152,0.006986119,0.272361121,0.073568974,,0.030881726,,,,0.008217604,NC,0,0,0,0,0,0,0,0,0,0,6.3989E-05,0.008016677,0.003966011,57.91583641,234.3594385
Carrouée et al. (2012),Winter wheat,France,0.125520378,0.125,0.982223819,0.007758549,0.280653742,0.074143056,,0.030848082,,,,0.00846383,NC,0,0,0,0,0,0,0,0,0,0,6.93466E-05,0.008100312,0.004009736,62.71625899,254.1120253
Carrouée et al. (2012),Winter wheat,France,0.125520378,0.125,0.894546975,0.004489406,0.216490997,0.056120996,,0.03935162,,,,0.006467823,NC,0,0,0,0,0,0,0,0,0,0,7.70811E-05,0.007142915,0.005829011,53.68393915,216.9461969
Carrouée et al. (2012),Winter wheat,France,0.125520378,0.125,0.906332383,0.005018895,0.218034306,0.060578824,,0.04067422,,,,0.006440315,NC,0,0,0,0,0,0,0,0,0,0,8.41638E-05,0.00713842,0.00618287,58.49821325,236.7557794
Carrouée et al. (2012),Winter wheat,France,0.05747668,0.2,1.043330763,0.008963832,0.306534213,0.066298873,,0.056810794,,,,0.009204114,NC,0,0,0,0,0,0,0,0,0,0,9.04196E-05,0.00841403,0.010541289,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.05747668,0.2,0.916604853,0.005720589,0.213247426,0.064085588,,0.047371641,,,,0.006581241,NC,0,0,0,0,0,0,0,0,0,0,9.19732E-05,0.006818623,0.007725528,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.05747668,0.2,0.928484341,0.005313101,0.233236355,0.059727682,,0.045223914,,,,0.007146093,NC,0,0,0,0,0,0,0,0,0,0,8.23426E-05,0.007186681,0.007197248,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.05747668,0.2,0.919846119,0.004847267,0.248898341,0.051031314,,0.032954003,,,,0.007717109,NC,0,0,0,0,0,0,0,0,0,0,7.55863E-05,0.00720411,0.004225692,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.05747668,0.2,0.95220694,0.007028424,0.275913946,0.048249632,,0.036524,,,,0.008561087,NC,0,0,0,0,0,0,0,0,0,0,6.78031E-05,0.00774619,0.005162385,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.047403447,0.333333333,0.992480464,0.00917483,0.275176885,0.065830581,,0.043732794,,,,0.008823503,NC,0,0,0,0,0,0,0,0,0,0,9.2825E-05,0.009031833,0.007337667,2.19443191,5.079232099
Carrouée et al. (2012),Winter wheat,France,0.047403447,0.333333333,0.922121038,0.007087371,0.228962804,0.059653494,,0.041427312,,,,0.007300882,NC,0,0,0,0,0,0,0,0,0,0,8.43196E-05,0.008162045,0.006557405,2.19443191,5.079232099
Koch and Salou (2015),Soft wheat,France,0.004456673,0.5,1.093978989,0.017246226,0.032842096,0.097866145,,0.144901308,,,,0,0,0,0,0.123388336,0.024764859,0,0,0,0,0,0,0.000238734,0.004928892,0.005473437,2.19443191,5.079232099
Koch and Salou (2015),Soft wheat,France,0.004456673,0.5,0.855547148,0.006106319,0,0.06007298,,0.072120583,,,,0,0,0,0,0.091580012,0.024764859,0,0,0,0,0,0,0.00017719,0.004694917,0.00414803,2.19443191,5.079232099
